epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,602.543,1.05949,0.5361,0.94629,0.8185,0.80346,0.85072,0.4491,1.59055,0.73089,1.2082,0.0006469,0.0006469,0.0006469
109,607.477,1.06306,0.53737,0.95023,0.83742,0.78815,0.83858,0.44664,1.5628,0.70821,1.19159,0.0006436,0.0006436,0.0006436
110,612.691,1.06679,0.53336,0.9508,0.85234,0.80203,0.8663,0.44559,1.61345,0.70905,1.24105,0.0006403,0.0006403,0.0006403
111,617.646,1.07349,0.53693,0.93756,0.83885,0.80278,0.85337,0.44944,1.57616,0.70807,1.21839,0.000637,0.000637,0.000637
112,622.925,1.03897,0.52833,0.93756,0.83368,0.81669,0.85298,0.45285,1.55931,0.72397,1.19563,0.0006337,0.0006337,0.0006337
113,627.969,1.02163,0.5205,0.938,0.83993,0.7949,0.84011,0.45399,1.55074,0.73426,1.1714,0.0006304,0.0006304,0.0006304
114,633.175,1.04345,0.53072,0.93577,0.84504,0.80671,0.85942,0.45782,1.53451,0.70652,1.18356,0.0006271,0.0006271,0.0006271
115,638.412,1.03484,0.52151,0.93517,0.86206,0.77365,0.84553,0.44561,1.63252,0.72466,1.24022,0.0006238,0.0006238,0.0006238
116,643.409,1.03108,0.5281,0.93732,0.86564,0.78058,0.84783,0.43595,1.61631,0.74554,1.23247,0.0006205,0.0006205,0.0006205
117,648.329,1.02171,0.51669,0.94079,0.85734,0.77023,0.8475,0.44498,1.57322,0.76285,1.20014,0.0006172,0.0006172,0.0006172
118,653.512,1.03414,0.52461,0.9337,0.8277,0.7897,0.83748,0.43959,1.57764,0.76594,1.22248,0.0006139,0.0006139,0.0006139
119,658.441,1.00788,0.51099,0.92833,0.84056,0.79235,0.85193,0.43628,1.61464,0.75324,1.25067,0.0006106,0.0006106,0.0006106
120,663.646,1.02303,0.51699,0.93495,0.85385,0.79396,0.85205,0.45595,1.56015,0.72785,1.20661,0.0006073,0.0006073,0.0006073
121,668.599,1.02279,0.5162,0.93675,0.84378,0.80271,0.85577,0.46001,1.55275,0.72266,1.18201,0.000604,0.000604,0.000604
122,673.574,1.01933,0.51361,0.93309,0.81837,0.80247,0.84804,0.44839,1.5545,0.72799,1.19143,0.0006007,0.0006007,0.0006007
123,678.816,1.01107,0.50801,0.93615,0.85116,0.80286,0.85433,0.45116,1.57647,0.72073,1.21675,0.0005974,0.0005974,0.0005974
124,683.797,0.99404,0.50003,0.92939,0.84354,0.80277,0.85169,0.45752,1.55265,0.70877,1.19704,0.0005941,0.0005941,0.0005941
125,695.483,1.00566,0.51043,0.93235,0.85047,0.7796,0.8483,0.44535,1.59002,0.73959,1.21295,0.0005908,0.0005908,0.0005908
126,701.537,0.97955,0.49781,0.92537,0.87055,0.7807,0.85053,0.46579,1.54838,0.71105,1.19727,0.0005875,0.0005875,0.0005875
127,706.563,0.99353,0.50072,0.9277,0.84564,0.79455,0.84438,0.45484,1.58738,0.70402,1.2479,0.0005842,0.0005842,0.0005842
128,711.563,1.00871,0.507,0.93056,0.83931,0.79642,0.83969,0.45713,1.55926,0.70262,1.22199,0.0005809,0.0005809,0.0005809
129,716.541,1.01175,0.51217,0.92726,0.8543,0.79925,0.84741,0.44929,1.61173,0.72693,1.24723,0.0005776,0.0005776,0.0005776
130,721.492,1.00075,0.50888,0.92396,0.84004,0.78543,0.83603,0.46589,1.55669,0.74949,1.17682,0.0005743,0.0005743,0.0005743
131,726.491,1.00411,0.50753,0.92667,0.85328,0.79046,0.85045,0.4649,1.53777,0.72302,1.1824,0.000571,0.000571,0.000571
132,731.493,1.01295,0.51316,0.92498,0.87757,0.77945,0.86619,0.46317,1.55343,0.71509,1.18548,0.0005677,0.0005677,0.0005677
133,736.434,0.98458,0.49591,0.92882,0.82175,0.79172,0.83911,0.45143,1.59072,0.69728,1.2165,0.0005644,0.0005644,0.0005644
134,741.361,0.99369,0.50479,0.9182,0.83469,0.78557,0.85057,0.44733,1.59824,0.71724,1.23086,0.0005611,0.0005611,0.0005611
135,746.545,0.96818,0.4895,0.92349,0.85224,0.79005,0.85192,0.43908,1.60959,0.71139,1.25793,0.0005578,0.0005578,0.0005578
136,751.725,0.97579,0.49132,0.9181,0.82492,0.78941,0.83881,0.42483,1.6578,0.73543,1.27597,0.0005545,0.0005545,0.0005545
137,756.697,0.98036,0.49748,0.91892,0.81866,0.82721,0.84614,0.42379,1.66429,0.71511,1.29855,0.0005512,0.0005512,0.0005512
138,761.657,0.99831,0.5082,0.91889,0.83031,0.81793,0.84012,0.4397,1.60135,0.72102,1.24806,0.0005479,0.0005479,0.0005479
139,766.911,0.97736,0.49577,0.91672,0.88031,0.76905,0.84118,0.45228,1.59741,0.72025,1.23551,0.0005446,0.0005446,0.0005446
140,771.875,0.9358,0.4757,0.91149,0.83278,0.78845,0.83704,0.44912,1.58303,0.72973,1.22635,0.0005413,0.0005413,0.0005413
141,777.118,0.96467,0.49044,0.91047,0.85644,0.77606,0.84212,0.45119,1.5753,0.72754,1.21199,0.000538,0.000538,0.000538
142,782.069,0.95563,0.48664,0.91402,0.86421,0.77515,0.84913,0.46504,1.55656,0.70812,1.19486,0.0005347,0.0005347,0.0005347
143,787.401,0.95173,0.49217,0.90594,0.82024,0.81059,0.84951,0.4627,1.53105,0.7196,1.18887,0.0005314,0.0005314,0.0005314
144,792.336,0.94782,0.48323,0.91492,0.82711,0.80862,0.85101,0.45025,1.61078,0.7265,1.24137,0.0005281,0.0005281,0.0005281
145,797.665,0.94955,0.48771,0.91732,0.83702,0.79955,0.85999,0.45461,1.58942,0.73876,1.21299,0.0005248,0.0005248,0.0005248
146,802.979,0.96552,0.48782,0.91588,0.82419,0.81049,0.85708,0.45936,1.56559,0.71686,1.21219,0.0005215,0.0005215,0.0005215
147,808.341,0.94164,0.47418,0.90894,0.8389,0.82242,0.85201,0.44713,1.58525,0.71512,1.21029,0.0005182,0.0005182,0.0005182
148,813.312,0.93804,0.47794,0.90646,0.85423,0.77024,0.83799,0.44957,1.59951,0.72116,1.23035,0.0005149,0.0005149,0.0005149
149,818.541,0.94147,0.48202,0.90892,0.83555,0.79329,0.83955,0.44317,1.6196,0.71898,1.23915,0.0005116,0.0005116,0.0005116
150,823.513,0.93985,0.47704,0.90799,0.86539,0.7849,0.84571,0.44994,1.59744,0.73453,1.2229,0.0005083,0.0005083,0.0005083
151,828.781,0.93938,0.47951,0.911,0.86062,0.78807,0.84707,0.45998,1.55032,0.68832,1.20776,0.000505,0.000505,0.000505
152,834.019,0.91974,0.46858,0.90279,0.86294,0.76795,0.84321,0.45843,1.57873,0.69731,1.22254,0.0005017,0.0005017,0.0005017
153,839.05,0.91489,0.46616,0.90182,0.83177,0.80657,0.84429,0.46018,1.57858,0.70427,1.22351,0.0004984,0.0004984,0.0004984
154,844.006,0.92535,0.46549,0.90435,0.83749,0.81885,0.84052,0.45276,1.60867,0.70912,1.23868,0.0004951,0.0004951,0.0004951
155,848.942,0.91543,0.4689,0.9063,0.85197,0.80609,0.85923,0.45584,1.60501,0.71147,1.20828,0.0004918,0.0004918,0.0004918
156,853.865,0.90091,0.45755,0.90529,0.86982,0.79539,0.84297,0.45719,1.59523,0.69197,1.24916,0.0004885,0.0004885,0.0004885
157,859.08,0.90412,0.45351,0.90182,0.84495,0.81052,0.84727,0.4639,1.57096,0.70304,1.23128,0.0004852,0.0004852,0.0004852
158,864.068,0.9119,0.46349,0.90119,0.86896,0.81323,0.85952,0.45713,1.59598,0.70775,1.26271,0.0004819,0.0004819,0.0004819
159,869.373,0.92742,0.47392,0.90407,0.85264,0.7978,0.85821,0.47095,1.55314,0.69565,1.20753,0.0004786,0.0004786,0.0004786
160,874.677,0.91281,0.46286,0.89884,0.82417,0.81316,0.85106,0.46519,1.57309,0.67653,1.24279,0.0004753,0.0004753,0.0004753
161,879.596,0.91317,0.46595,0.90572,0.86539,0.78333,0.8535,0.46316,1.5818,0.70315,1.22513,0.000472,0.000472,0.000472
162,884.535,0.89109,0.45506,0.89553,0.87125,0.78508,0.84108,0.45683,1.57762,0.70421,1.2327,0.0004687,0.0004687,0.0004687
163,889.473,0.90525,0.46461,0.89708,0.86401,0.81116,0.85332,0.45232,1.58708,0.70646,1.22699,0.0004654,0.0004654,0.0004654
164,894.385,0.88275,0.45324,0.88969,0.84074,0.81102,0.85691,0.46164,1.5543,0.71689,1.19331,0.0004621,0.0004621,0.0004621
165,899.314,0.89544,0.4625,0.8995,0.82163,0.81648,0.84332,0.46174,1.60053,0.67328,1.2472,0.0004588,0.0004588,0.0004588
166,904.269,0.88321,0.45527,0.89293,0.84465,0.80598,0.84642,0.45662,1.5757,0.70722,1.2407,0.0004555,0.0004555,0.0004555
167,909.423,0.88495,0.45556,0.8944,0.81581,0.82697,0.8542,0.45129,1.59192,0.69489,1.25951,0.0004522,0.0004522,0.0004522
168,914.636,0.88153,0.45694,0.9001,0.83889,0.79291,0.83536,0.44653,1.57724,0.71968,1.21855,0.0004489,0.0004489,0.0004489
169,919.882,0.90687,0.4669,0.9023,0.83364,0.80988,0.8452,0.46635,1.56799,0.69774,1.22108,0.0004456,0.0004456,0.0004456
170,924.81,0.9072,0.46165,0.89681,0.84677,0.80388,0.85622,0.4594,1.57521,0.70028,1.24025,0.0004423,0.0004423,0.0004423
171,930.017,0.89798,0.45274,0.89305,0.8355,0.80314,0.8521,0.45952,1.56958,0.71147,1.2414,0.000439,0.000439,0.000439
172,934.961,0.87812,0.44521,0.88977,0.85416,0.78688,0.85809,0.45822,1.56252,0.71495,1.22383,0.0004357,0.0004357,0.0004357
173,939.906,0.88153,0.45197,0.89449,0.82756,0.80432,0.83425,0.44221,1.59495,0.7482,1.24744,0.0004324,0.0004324,0.0004324
174,945.122,0.8757,0.451,0.89038,0.83812,0.80025,0.84622,0.4604,1.57264,0.67226,1.24861,0.0004291,0.0004291,0.0004291
175,950.001,0.85511,0.44217,0.88971,0.85733,0.80256,0.85166,0.45874,1.57155,0.68478,1.23966,0.0004258,0.0004258,0.0004258
176,955.156,0.87497,0.44808,0.89273,0.8765,0.79437,0.85346,0.45401,1.58241,0.70394,1.22622,0.0004225,0.0004225,0.0004225
177,960.469,0.85596,0.44128,0.89145,0.87391,0.80229,0.86163,0.45569,1.59048,0.70093,1.23258,0.0004192,0.0004192,0.0004192
178,965.401,0.89296,0.45305,0.90125,0.86596,0.80687,0.86052,0.45804,1.58951,0.68542,1.22923,0.0004159,0.0004159,0.0004159
179,970.316,0.86933,0.44444,0.88984,0.86951,0.80556,0.86266,0.46693,1.56857,0.68596,1.21095,0.0004126,0.0004126,0.0004126
